label,id,rodada,views
camxflu-2turno-2023,ahVvYGAYAU0,30,797383
capxsao-2turno-2023,6ox2cINoNfQ,30,249160
goixvas-2turno-2023,ZsF9rGU2aMo,30,434655
corxsan-2turno-2023,__RYbPj0lb8,30,1074225
intxcrc-2turno-2023,7eUonAJ9_JY,30,765424
botxcui-2turno-2023,NqMbfQ_vWz8,30,718811
bahxflu-2turno-2023,hvK0zuR8O5I,31,722154
intxamg-2turno-2023,52uU2WUmKGk,31,201752
corxcap-2turno-2023,86TPOlRYsKo,31,826032
flaxsan-2turno-2023,U0QGjRN4OG0,31,1778052
cfcxgre-2turno-2023,AgimpkmxMSQ,31,489984
botxpal-2turno-2023,Z8YtuRj5p20,31,5510087
camxfor-2turno-2023,7JJ0NreHY-o,31,499679
cuixvas-2turno-2023,k6CpaTx-6Zw,31,823840
goixbra-2turno-2023,Fii13oLPlmA,31,278286
saoxcru-2turno-2023,OpiExzXO6Qc,31,769780
grexbah-2turno-2023,qd4IMLLzDOk,32,540171
amgxcam-2turno-2023,drEhBKvaU58,32,397570
palxcap-2turno-2023,1miok4MMz0k,32,681892
braxcor-2turno-2023,UPhpVR4Omxk,32,521537
cruxint-2turno-2023,PHUQ9S05UqQ,32,604411
forxfla-2turno-2023,hDfmhdtaIZw,32,1193830
cfcxgoi-2turno-2023,gEFBInBIZgI,32,219492
vasxbot-2turno-2023,zkR2h6Z3F-8,32,1466995
sanxcui-2turno-2023,HyC_7BjV2Io,32,217009
amgxcfc-2turno-2023,5IaWmEvTO_E,33,172475
intxflu-2turno-2023,eCcCKsRG2lw,33,169002
capxfor-2turno-2023,c147OwpIxqI,33,101564
saoxbra-2turno-2023,9bAMc9fjbFQ,33,771861
flaxpal-2turno-2023,0R1AU9ZL3Y0,33,3776573
goixsan-2turno-2023,ys_IyJVCJBE,33,414861
corxcam-2turno-2023,rABjOGT1d2c,33,800155
botxgre-2turno-2023,UamMxlX5ADY,33,3351927
bahxcui-2turno-2023,oB3_SujbqQI,33,738611
cfcxcru-2turno-2023,8UsETPz261g,34,517189
flaxflu-2turno-2023,171FqV3rx9g,34,1406350
palxint-2turno-2023,883O6dRuLVc,34,1846474
braxbot-2turno-2023,cl5QlHVCsYI,34,734976
grexcor-2turno-2023,PCo4fG6E1MM,34,1121859
sanxsao-2turno-2023,dtyDp5yEb1E,34,323887
bahxcap-2turno-2023,kEAbg4qfTIg,34,230521
vasxamg-2turno-2023,BqciONJw5aE,34,964155
camxgoi-2turno-2023,ue5mAfQucoA,34,358880
cuixfor-2turno-2023,XALXbJQ7vFY,34,247395
forxcru-2turno-2023,szDL6HRJECc,30,783573
cruxvas-2turno-2023,rA2H3xhwTRw,33,805130
fluxsao-2turno-2023,ZeIlRhWTqnw,32,628746
forxbot-2turno-2023,hsdj82k0kuE,29,624541
flaxbra-2turno-2023,XAzhlZz_4hU,30,1718497
corxbah-2turno-2023,k2Ep1eIJROs,35,2417114
capxvas-2turno-2023,3HjFifPB3Rc,35,205994
fluxcfc-2turno-2023,-A2T98U2_T4,35,724730
camxgre-2turno-2023,Qn4-61V-y40,35,570800
botxsan-2turno-2023,fojrgNpZrtg,35,519156
amgxfla-2turno-2023,wn4YOuwQmVM,35,1534333
saoxcui-2turno-2023,hi0rYsClPkg,35,176528
forxpal-2turno-2023,vDHIC1Owj_o,35,1076829
intxbra-2turno-2023,NZJNn9gOOiw,35,235723
goixcru-2turno-2023,1cGbzf5hZm8,35,730820
vasxcor-2turno-2023,WfT-E45VJaE,36,2008185
sanxflu-2turno-2023,73y4d9xjCtc,36,532930
flaxcam-2turno-2023,f0UdnDKaOyE,36,1750666
cuixint-2turno-2023,VbPrpTbk1gg,36,265329
bahxsao-2turno-2023,ztcMyvESLt8,36,702196
cfcxbot-2turno-2023,bc9x4N3qY-M,36,1053887
palxamg-2turno-2023,t4TgLgq6wjo,36,1082326
grexgoi-2turno-2023,WLC6lys-PRQ,36,633575
cruxcap-2turno-2023,mE58rqeOkMI,36,544675
braxfor-2turno-2023,8GJhLL6sgts,36,425961
corxint-2turno-2023,5WqQ5ysu2pM,37,1050136
camxsao-2turno-2023,vR7FfX8pnHY,37,1867442
flaxcui-2turno-2023,C1YVKTNPDhM,37,876660
palxflu-2turno-2023,gwLSORASaI8,37,538857
forxgoi-2turno-2023,J0tUlc4Y3X8,37,119636
amgxbah-2turno-2023,NUS1yawiyso,37,861084
botxcru-2turno-2023,FPQ5p24a1LQ,37,424469
braxcfc-2turno-2023,KrbsC2a1IBI,37,110809
grexvas-2turno-2023,0gCojpgI9V0,37,689700
goixamg-2turno-2023,1rzapeRwpNU,38,57680
cruxpal-2turno-2023,xtCODWmE6CQ,38,799339
bahxcam-2turno-2023,bqnv4lUwAtw,38,1109741
sanxfor-2turno-2023,ZFBFOdOA7bE,38,2151019
cuixcap-2turno-2023,mrHB279hp1w,38,128715
intxbot-2turno-2023,s4Jln2NlfgA,38,673205
fluxgre-2turno-2023,e5ZJtDFjmPM,38,997999
cfcxcor-2turno-2023,JtXCs35NcYI,38,577989
saoxfla-2turno-2023,zRM_Pu-vzs4,38,868037
vasxbra-2turno-2023,2ylXA0AZvWI,38,1236459
